,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
201194,-34.6098868,-58.5074716,Villa Devoto,ph,2,1,84,37,80000
412215,-34.6424647,-58.4298671,Pompeya,ph,3,2,181,89,156000
278822,-34.5837136,-58.4117369,Palermo,departamento,2,1,44,42,104999
153162,-34.5780655,-58.4265317,Palermo,departamento,3,2,53,53,70000
401597,-34.5600913,-58.4543694,Belgrano,departamento,3,2,74,67,250000
225160,-34.5696463,-58.4998374,Villa Urquiza,ph,4,3,121,62,200000
75839,-34.6466654,-58.5100465,Liniers,ph,2,1,78,58,135000
377966,-34.6133814,-58.4024376,Balvanera,departamento,3,2,48,47,85000
371346,-34.5773491087,-58.4570503235,Colegiales,ph,3,1,76,76,165000
379440,-34.5910174,-58.4163398,Palermo,departamento,2,1,36,36,87000
228400,-34.615514,-58.3851664,Monserrat,ph,2,1,45,41,70000
49526,-34.58775,-58.406649,Palermo,departamento,2,1,52,48,135000
96236,-34.6068687,-58.4298648,Almagro,departamento,4,3,73,70,169000
127315,-34.6004904,-58.5035375,Villa Devoto,departamento,2,1,43,36,59900
188161,-34.6045384,-58.4249555,Almagro,departamento,2,1,50,43,100000
275114,-34.6288524,-58.4403414,Caballito,departamento,4,3,130,127,370000
135261,-34.592679,-58.390682,Recoleta,departamento,3,2,73,73,76866
293848,-34.6225406,-58.4084786,San Cristobal,departamento,3,2,62,57,169467
174893,-34.6006447348,-58.4371376038,Villa Crespo,ph,3,2,60,55,100000
183348,-34.6030485,-58.4130662,Almagro,departamento,2,1,40,40,79000
371351,-34.570698,-58.4606564,Colegiales,departamento,2,1,57,52,135913
209081,-34.617869,-58.422687,Boedo,departamento,3,2,57,50,125000
90919,-34.6931708647,-58.4682512283,Villa Lugano,casa,3,2,114,110,110000
152375,-34.602223,-58.442157,Villa Crespo,departamento,3,1,125,104,128000
